Bulan,LoadingTime,Downtime,Theoryticalcycletime,ActualOutput,OperatingTime,Defect
Jan,43360,1982.7,0.009887203,4019000,41377.3,69629
Feb,39660,2053.1,0.010340198,3512482,37606.9,52741
Mar,43610,1937.7,0.011477044,3510546,41672.3,61467
Apr,42120,1961.2,0.008381256,4625130,40158.8,74862
Mei,42290,2197.7,0.008998375,4130125,40092.3,94091
Jun,42335,2961.2,0.009564436,3915142,39373.8,66249
Jul,41460,1637.7,0.008906719,4128000,39822.3,69471
Agt,43948,2243.7,0.009788004,4111000,41704.3,88393
Okt,43050,5482.7,0.008201592,3991510,37567.3,73771
Nov,42725,3096.2,0.009632867,3900125,39628.8,76790
Des,39830,2277.7,0.008199096,4050126,37552.3,73699
